基金管理人简称,switch_direction,relative_market_environment,observation_count,unique_fund_count,hit_ratio,mean_active_contribution,median_active_contribution
中欧基金,加股票,股显著强,2,2,1.0,0.02865197837711119,0.02865197837711119
中海基金,减股票,差异较小,1,1,1.0,0.00037162241017385365,0.00037162241017385365
中海基金,减股票,股显著强,1,1,0.0,-0.021111472273719716,-0.021111472273719716
中海基金,加股票,差异较小,1,1,0.0,-0.003354661139764651,-0.003354661139764651
中邮基金,减股票,债显著强,1,1,1.0,0.004711044048605093,0.004711044048605093
中邮基金,减股票,差异较小,6,4,1.0,0.0016537696493548807,0.0009446973917391233
中邮基金,加股票,债显著强,1,1,0.0,-0.009035415198420783,-0.009035415198420783
中邮基金,加股票,差异较小,5,3,0.4,-0.0023741326710355875,-0.003747289862515595
中邮基金,加股票,股显著强,4,3,1.0,0.01407093434095353,0.01432481165585625
中金基金,减股票,差异较小,1,1,1.0,0.0011492121673352606,0.0011492121673352606
中金基金,减股票,股显著强,2,1,0.0,-0.026117768887319683,-0.026117768887319683
中金基金,加股票,差异较小,1,1,1.0,0.0021054652138181567,0.0021054652138181567
中银基金,减股票,债显著强,1,1,1.0,0.011408461763238951,0.011408461763238951
中银基金,减股票,差异较小,7,3,0.8571428571428571,0.00255015701023704,0.002569200206336931
中银基金,减股票,股显著强,5,4,0.0,-0.017367157063135387,-0.018872603824220045
中银基金,加股票,债显著强,2,2,0.0,-0.01624560112899164,-0.01624560112899164
中银基金,加股票,差异较小,8,7,0.375,-0.005621677524702261,-0.0031554143856732902
中银基金,加股票,股显著强,4,3,1.0,0.017048195727593606,0.01794351600048128
中银证券,减股票,差异较小,2,1,0.5,-5.395502193358023e-06,-5.395502193358023e-06
中银证券,减股票,股显著强,2,1,0.0,-0.009969081741317939,-0.009969081741317939
中银证券,加股票,差异较小,4,1,0.0,-0.0022010362069006333,-0.001793008882168878
中银证券,加股票,股显著强,1,1,1.0,0.008909669076007227,0.008909669076007227
交银施罗德基金,减股票,差异较小,7,5,0.42857142857142855,0.0002704010098646004,-0.0006780163087109664
交银施罗德基金,减股票,股显著强,3,3,0.0,-0.01144560862379499,-0.01081126094182408
交银施罗德基金,加股票,债显著强,1,1,0.0,-0.012784877359492982,-0.012784877359492982
交银施罗德基金,加股票,差异较小,14,6,0.0,-0.0019162991721287704,-0.0012766430256250872
交银施罗德基金,加股票,股显著强,4,4,1.0,0.02164302013454191,0.010710985345811337
众盈基金,减股票,股显著强,1,1,0.0,-0.06995490961242552,-0.06995490961242552
众盈基金,加股票,债显著强,1,1,0.0,-0.013438938277671276,-0.013438938277671276
众盈基金,加股票,差异较小,1,1,0.0,-0.005118443579600676,-0.005118443579600676
信达澳亚基金,减股票,差异较小,6,2,1.0,0.004119037146969454,0.0027048884310579106
信达澳亚基金,减股票,股显著强,2,2,0.0,-0.041980252881025665,-0.041980252881025665
信达澳亚基金,加股票,债显著强,1,1,0.0,-0.006142875577065486,-0.006142875577065486
信达澳亚基金,加股票,差异较小,4,2,0.0,-0.004314384389505969,-0.0029579305492985148
信达澳亚基金,加股票,股显著强,2,2,1.0,0.017460271306579928,0.017460271306579928
光大保德信基金,减股票,债显著强,1,1,1.0,0.012005058702361564,0.012005058702361564
光大保德信基金,减股票,差异较小,3,2,1.0,0.0031845853335212043,0.0006209694850548973
光大保德信基金,减股票,股显著强,1,1,0.0,-0.04061994375528983,-0.04061994375528983
光大保德信基金,加股票,差异较小,6,3,0.16666666666666666,-0.009049013389840986,-0.0069857245328938805
光大保德信基金,加股票,股显著强,5,3,1.0,0.02936128622365868,0.01843671643326241
兴业基金,减股票,差异较小,1,1,1.0,0.002499004340843371,0.002499004340843371
兴证全球基金,减股票,差异较小,6,3,1.0,0.005089791034861487,0.005721339495894215
兴证全球基金,减股票,股显著强,2,2,0.0,-0.030144776843081998,-0.030144776843081998
兴证全球基金,加股票,债显著强,2,2,0.0,-0.01055211142653264,-0.01055211142653264
兴证全球基金,加股票,差异较小,8,4,0.125,-0.0009995064354162302,-0.0012994229520710576
兴证全球基金,加股票,股显著强,3,2,1.0,0.007738844977433067,0.007738748585263636
兴证资管,减股票,差异较小,4,1,0.75,0.0018043224959825607,0.0017134489963266004
兴证资管,加股票,债显著强,1,1,0.0,-0.013968554061286989,-0.013968554061286989
兴证资管,加股票,差异较小,3,1,0.0,-0.00207357784577814,-0.002422957643156134
兴证资管,加股票,股显著强,1,1,1.0,0.011329923434419428,0.011329923434419428
兴银基金管理,减股票,差异较小,4,2,1.0,0.004054724373961187,0.002953084973172159
兴银基金管理,减股票,股显著强,1,1,0.0,-0.04931394615045263,-0.04931394615045263
兴银基金管理,加股票,差异较小,3,2,0.0,-0.0010290240971173033,-0.0006139102981359996
兴银基金管理,加股票,股显著强,3,2,1.0,0.012297934239381013,0.013335797503230364
农银汇理基金,减股票,差异较小,4,2,1.0,0.0015880562791248567,0.0008032684320566138
农银汇理基金,加股票,差异较小,2,2,0.5,-0.005821726885933623,-0.005821726885933623
农银汇理基金,加股票,股显著强,2,1,1.0,0.03369693372489755,0.03369693372489755
创金合信基金,减股票,差异较小,2,1,1.0,0.0034337343745748337,0.0034337343745748337
创金合信基金,加股票,差异较小,2,1,0.5,0.0001407696811370143,0.0001407696811370143
创金合信基金,加股票,股显著强,1,1,1.0,0.011994519734969445,0.011994519734969445
前海开源基金,减股票,差异较小,8,4,1.0,0.009310294181735715,0.004687931116172061
前海开源基金,加股票,差异较小,8,4,0.25,-0.0015460276126361447,-0.002356765857510837
前海开源基金,加股票,股显著强,4,2,1.0,0.06020466791794254,0.053286286331669805
前海联合,减股票,差异较小,4,1,1.0,0.004442214612474276,0.00498332560443505
前海联合,减股票,股显著强,1,1,0.0,-0.01258610588386219,-0.01258610588386219
前海联合,加股票,差异较小,2,1,0.0,-0.004307825493928952,-0.004307825493928952
华商基金,减股票,债显著强,1,1,1.0,0.004836400224542203,0.004836400224542203
华商基金,减股票,差异较小,11,5,1.0,0.004229978159149584,0.001415084120077003
华商基金,减股票,股显著强,1,1,0.0,-0.011139293945677241,-0.011139293945677241
华商基金,加股票,差异较小,16,5,0.25,-0.0038898800591421795,-0.0012587476675128173
华商基金,加股票,股显著强,4,4,1.0,0.017315684878279555,0.01765932107266996
华夏基金,减股票,债显著强,6,6,1.0,0.012872761125662898,0.011633595003374889
华夏基金,减股票,差异较小,17,10,1.0,0.006196046469739268,0.002505008978191039
华夏基金,减股票,股显著强,13,11,0.0,-0.017034384280256245,-0.013168575746577673
华夏基金,加股票,债显著强,1,1,0.0,-0.017981459096202374,-0.017981459096202374
华夏基金,加股票,差异较小,26,13,0.23076923076923078,-0.003962785951616608,-0.000576466850346555
华夏基金,加股票,股显著强,6,5,1.0,0.027702226545958008,0.016032331046373707
华安基金,减股票,债显著强,1,1,1.0,0.007430331155622212,0.007430331155622212
华安基金,减股票,差异较小,11,4,0.6363636363636364,0.00104639839161289,0.0006972493622697686
华安基金,减股票,股显著强,2,2,0.0,-0.01724521623480787,-0.01724521623480787
华安基金,加股票,债显著强,3,3,0.0,-0.01045745077015525,-0.01172868783519531
华安基金,加股票,差异较小,4,2,0.0,-0.005207920609145102,-0.0051315081312295965
华安基金,加股票,股显著强,1,1,1.0,0.007945358587119714,0.007945358587119714
华宝基金,减股票,债显著强,1,1,1.0,0.008131653163430891,0.008131653163430891
华宝基金,减股票,差异较小,1,1,1.0,0.00032377353676084646,0.00032377353676084646
华宝基金,减股票,股显著强,1,1,0.0,-0.03212712915107225,-0.03212712915107225
华宝基金,加股票,差异较小,4,2,0.25,-0.0011779317615713827,-0.0014660918931586621
华富基金,减股票,差异较小,5,2,1.0,0.004451296018606322,0.003625064795371645
华富基金,减股票,股显著强,2,2,0.0,-0.01415338696893009,-0.01415338696893009
华富基金,加股票,差异较小,3,2,0.0,-0.0008645531166685177,-0.000879635203124248
华富基金,加股票,股显著强,2,2,1.0,0.018228387865707178,0.018228387865707178
华泰保兴基金,减股票,差异较小,2,1,1.0,0.001805130826397942,0.001805130826397942
华泰保兴基金,减股票,股显著强,1,1,0.0,-0.037269290456117064,-0.037269290456117064
华泰保兴基金,加股票,债显著强,1,1,0.0,-0.0051242711523595075,-0.0051242711523595075
华泰保兴基金,加股票,差异较小,1,1,0.0,-0.005229781163897821,-0.005229781163897821
