threshold,基金管理人简称,switch_observation_count,switch_unique_fund_count,switch_success_count,switch_hit_ratio,wilson_lower_95,wilson_upper_95,mean_active_contribution,median_active_contribution,threshold_rank
0.03,信达澳亚基金,16,2,8,0.5,0.27999563610326017,0.7200043638967398,-0.003214156376445372,0.0004105574710608233,55.0
0.03,万家基金,35,5,15,0.42857142857142855,0.2798456817718068,0.5914258885602508,-0.0007651713865633684,-0.0005283078711193118,56.0
0.03,国投瑞银基金,25,3,11,0.44,0.26665638881067344,0.6293266813020123,0.0002419647479330847,-0.00022976793039753882,57.0
0.03,恒越基金,9,1,5,0.5555555555555556,0.26665129349549305,0.8112214789023355,0.004100556984534678,0.0020309996226852566,58.0
0.03,博道基金,9,1,5,0.5555555555555556,0.26665129349549305,0.8112214789023355,-0.002763532539970868,0.0008303668436630588,59.0
0.03,工银瑞信基金,37,5,15,0.40540540540540543,0.26346518192014284,0.5651403526977063,-0.001687153994921104,-0.0004465147778582431,60.0
0.03,华宝基金,12,3,6,0.5,0.2537815976337061,0.7462184023662939,-0.002944015551338158,-0.0002663498282564524,61.0
0.03,融通基金,51,7,19,0.37254901960784315,0.25320519466264424,0.5097478653114912,0.00033666207547380515,-0.00035897643712703715,62.0
0.03,前海联合,7,1,4,0.5714285714285714,0.2504583645276572,0.8417801447485302,-0.0004904140602604274,0.0006819635716653372,63.0
0.03,富安达基金,10,1,5,0.5,0.236593090512564,0.7634069094874361,0.0008834567942021347,0.0019155638490849988,64.0
0.03,兴证资管,10,1,5,0.5,0.236593090512564,0.7634069094874361,-0.0001507482947583051,-0.00012804497522199762,65.0
0.03,尚正基金,10,1,5,0.5,0.236593090512564,0.7634069094874361,-0.0030926946372094332,0.00016037120292174798,66.0
0.03,中欧基金,41,8,15,0.36585365853658536,0.23589831019689447,0.5187929891208799,-0.003439187009322344,-0.0025450250038256753,67.0
0.03,华安基金,25,4,10,0.4,0.23403302377747973,0.5926054264103301,-0.002458909963884327,-0.0016700633777454441,68.0
0.03,益民基金,5,1,3,0.6,0.2307242812760128,0.882379225767352,-0.0034108238302067912,0.0015376434078094511,69.0
0.03,金鹰基金,29,4,11,0.3793103448275862,0.2268802210080984,0.5599745579401147,0.0028473467860513782,-0.00045029039785587,70.0
0.03,交银施罗德基金,40,6,14,0.35,0.2213452887317629,0.5049411916274231,0.0006157854235310968,-0.0005300738313362154,71.0
0.03,中信保诚基金,30,7,11,0.36666666666666664,0.21873920806100708,0.5448643634520511,0.004645646656724118,-0.001778156940026011,72.0
0.03,华泰保兴基金,8,1,4,0.5,0.21521606221387757,0.7847839377861224,0.001054783122774617,0.00024030145291973864,73.0
0.03,弘毅远方基金,8,1,4,0.5,0.21521606221387757,0.7847839377861224,-0.0013811290044262662,-5.5171496469971854e-05,74.0
0.03,合煦智远基金,8,1,4,0.5,0.21521606221387757,0.7847839377861224,-0.003213466504727266,-0.00013010127453680204,75.0
0.03,永赢基金,14,2,6,0.42857142857142855,0.21380798904474121,0.6740935542034926,0.0003094706183179474,-0.0011451571291490564,76.0
0.03,太平基金,9,2,4,0.4444444444444444,0.18877852109766452,0.733348706504507,-0.0015978516707878861,-0.00029800471210455234,77.0
0.03,中海基金,6,1,3,0.5,0.1876163064826506,0.8123836935173494,-0.00219226708617259,8.6841329418302e-05,78.0
0.03,中金基金,6,1,3,0.5,0.1876163064826506,0.8123836935173494,-0.008438556112634376,-0.000825238141160152,79.0
0.03,海富通基金,14,3,5,0.35714285714285715,0.1634473175355414,0.612355768960926,0.0012723926875410085,-0.0005043985467073923,80.0
0.03,银河基金,14,2,5,0.35714285714285715,0.1634473175355414,0.612355768960926,-0.0030218465025159957,-0.0011105828528620372,81.0
0.03,嘉实基金,14,2,5,0.35714285714285715,0.1634473175355414,0.612355768960926,-0.00345313585890331,-0.0003384121728002277,82.0
0.03,英大基金,7,1,3,0.42857142857142855,0.15821985525146975,0.7495416354723428,-0.005778853327149882,-0.00022649823947285634,83.0
0.03,中加基金,11,2,4,0.36363636363636365,0.15166471095367573,0.6461988254921511,0.002629896506509008,-0.0004994387322601119,84.0
0.03,国新国证基金,8,1,3,0.375,0.13684428582359742,0.6942576053973727,-0.002905058225272781,-0.0006136416559471228,85.0
0.03,东吴基金,5,1,2,0.4,0.11762077423264783,0.769275718723987,0.0017573695156949134,-0.002609979627301792,86.0
0.03,新华基金,14,2,4,0.2857142857142857,0.11721378644576919,0.5464908432989318,-0.0031536707723792586,-0.002599064681151472,87.0
0.03,红土创新基金,15,2,4,0.26666666666666666,0.10897453325692374,0.5195043405598057,-0.004306698877538178,-0.0006295744854925113,88.0
