基金主代码,基金名称,基金管理人简称,投资风格,annualized_evaluation_pool,return_quarter_count,return_period_start,return_period_end,contribution_evaluation_pool,contribution_quarter_count,latest_valid_nav_yuan,annualized_fund_return,annualized_csi300_return,annualized_bond_return,annualized_three_asset_benchmark_return,annualized_loo_peer_return,annualized_excess_vs_three_asset,annualized_excess_vs_loo_peer,significant_switch_count,significant_switch_coverage,cumulative_active_allocation_contribution,annualized_active_allocation_contribution,annualized_excess_positive,annualized_allocation_contribution_positive
080008.OF,长盛战略新兴产业混合A,长盛基金,成长型,正式年化,13,2023Q1,2026Q1,正式贡献,12,108700000.0,0.07328929413754115,0.06555749968804503,0.043099338066887816,0.06800700215871003,0.05352010220193293,0.005282291978831122,0.01976919193560822,7,0.5833333333333334,0.029303876901549675,0.009674069554385989,True,True
090019.OF,大成景恒混合A,大成基金,成长型,正式年化,13,2023Q1,2026Q1,正式贡献,12,1771290000.0000002,0.10231812248272965,0.06555749968804503,0.043099338066887816,0.05633257510788514,0.053520552089535656,0.045985547374844504,0.04879757039319399,3,0.25,-0.004009214317710619,-0.0013381947389320414,True,False
160220.SZ,国泰民益LOF,国泰基金,成长型,正式年化,10,2023Q1,2025Q3,正式贡献,11,112410000.0,0.2121930167092887,0.04208827409250815,0.03972334792930998,0.07917091176046576,0.04725014156788032,0.13302210494882294,0.16494287514140837,5,0.45454545454545453,0.05368316338357104,0.01919714064025646,True,True
161232.SZ,国投瑞盛LOF,国投瑞银基金,成长型,正式年化,9,2023Q1,2026Q1,正式贡献,12,110440000.0,0.09358527788437354,0.14809335567532722,0.03598820905362454,0.04153512958788719,0.09386926115641803,0.052050148296486354,-0.0002839832720444857,10,0.8333333333333334,0.026255931724449066,0.008676478241362862,True,True
161233.SZ,国投瑞泰LOF,国投瑞银基金,成长型,正式年化,13,2023Q1,2026Q1,正式贡献,12,50160000.00000001,0.07947592338860043,0.06555749968804503,0.043099338066887816,0.04289953061962781,0.053243669008750105,0.03657639276897262,0.026232254379850328,4,0.3333333333333333,0.011331156599604597,0.003762875210215455,True,True
161722.SZ,招商丰泰LOF,招商基金,成长型,年化观察池,5,2023Q1,2025Q3,正式贡献,11,11000000.0,,,,,,,,7,0.6363636363636364,-0.09269391931057824,-0.03475457187433695,,False
162205.OF,宏利风险预算混合,宏利基金,收入型,正式年化,13,2023Q1,2026Q1,正式贡献,12,68990000.0,0.1304433291415834,0.06555749968804503,0.043099338066887816,0.053501723662946477,0.03149606509856473,0.07694160547863693,0.09894726404301868,2,0.16666666666666666,-0.004886185262207743,-0.001631388401578393,True,False
167003.SZ,鼎弘LOF,平安基金,收入型,正式年化,8,2023Q1,2025Q4,正式贡献,12,46120000.0,0.030758889937074763,-0.005079754183696772,0.03367843884095545,0.024831253783847984,0.019145800222885034,0.0059276361532267785,0.011613089714189728,7,0.5833333333333334,-0.0508244489624039,-0.017236886146340114,True,False
206013.OF,鹏华宏观混合,鹏华基金,平衡型,年化观察池,0,,,正式贡献,12,152980000.0,,,,,,,,7,0.5833333333333334,0.04921348809586723,0.016142513158264427,,True
210010.OF,金鹰灵活配置混合A,金鹰基金,成长型,正式年化,13,2023Q1,2026Q1,正式贡献,12,360870000.0,0.04667161286649635,0.06555749968804503,0.043099338066887816,0.05408335051443114,0.05358092757016131,-0.007411737647934791,-0.006909314703664959,7,0.5833333333333334,0.015442890260590314,0.005121357014369332,False,True
240002.OF,华宝宝康灵活配置混合,华宝基金,平衡型,年化观察池,0,,,正式贡献,12,375050000.0,,,,,,,,1,0.08333333333333333,-0.0321271291510723,-0.010825818473302662,,False
270001.OF,广发聚富混合,广发基金,成长型,正式年化,13,2023Q1,2026Q1,正式贡献,12,1250360000.0,-0.015296732869463203,0.06555749968804503,0.043099338066887816,0.044390280643602065,0.054014557690166276,-0.05968701351306527,-0.06931129055962948,6,0.5,0.05143063680830595,0.01685776447607079,False,True
290005.OF,泰信优势增长混合,泰信基金,平衡型,年化观察池,0,,,正式贡献,12,19620000.0,,,,,,,,2,0.16666666666666666,-4.5845715467951464e-05,-1.52821386986135e-05,,False
400013.OF,东方成长收益灵活配置混合A,东方基金,成长型,正式年化,13,2023Q1,2026Q1,正式贡献,12,101010000.0,0.0219668185451114,0.06555749968804503,0.043099338066887816,0.06247281840340824,0.053488249707217994,-0.04050599985829684,-0.031521431162106595,6,0.5,-0.04252550173226244,-0.014380988688736274,False,False
501017.SH,国泰融丰LOF,国泰基金,成长型,正式年化,13,2023Q1,2026Q1,正式贡献,12,45240000.0,0.057190119193764044,0.06555749968804503,0.043099338066887816,0.03338973146552782,0.05388469249779959,0.023800387728236228,0.003305426695964453,5,0.4166666666666667,-0.07783234637624226,-0.026647919401542652,True,False
501053.SH,东方红目标优选,东方红资产管理,收入型,年化观察池,0,,,正式贡献,10,319990000.0,,,,,,,,2,0.2,0.002883745775024815,0.0011525019231723999,,True
501076.SH,鹏华创新动力LOF,鹏华基金,成长型,正式年化,9,2023Q1,2026Q1,贡献观察池,6,325140000.0,0.02750012434315252,-0.04669878588440235,0.0581307756083882,-0.0027467814183042005,0.009502882216127162,0.03024690576145672,0.01799724212702536,1,0.16666666666666666,-0.004032577778521951,,True,
501080.SH,科创主题投资基金LOF,中金基金,成长型,正式年化,13,2023Q1,2026Q1,正式贡献,12,166120000.0,0.11485712647352897,0.06555749968804503,0.043099338066887816,0.04555221194634873,0.05379626546448102,0.06930491452718024,0.06106086100904795,4,0.3333333333333333,-0.048766876436755924,-0.016527271365810114,True,False
501186.SH,华夏兴融LOF,华夏基金,成长型,正式年化,11,2023Q1,2026Q1,正式贡献,9,472030000.0,-0.005480326349444509,0.09095557951194344,0.043008025676190886,0.059081034928321285,0.061684551431173684,-0.0645613612777658,-0.06716487778061819,4,0.4444444444444444,-0.019505448628729494,-0.00871654002361344,False,False
510081.OF,长盛动态精选混合,长盛基金,成长型,正式年化,10,2023Q1,2025Q3,正式贡献,8,211220000.0,-0.04519809728423596,-0.006141569476146191,0.04420782068738771,-0.002446215006466357,0.03186993561610851,-0.042751882277769604,-0.07706803290034447,3,0.375,-0.006508159617066744,-0.0032593916254173294,False,False
