基金管理人简称,evaluation_pool,credibility_grade,formal_rank,annualized_valid_fund_count,active_contribution_valid_fund_count,median_annualized_fund_return,equal_weight_annualized_fund_return,nav_weighted_annualized_fund_return,median_annualized_three_asset_benchmark_return,median_annualized_excess_vs_three_asset,median_annualized_excess_vs_loo_peer,median_annualized_active_allocation_contribution,annualized_excess_positive_fund_ratio,active_contribution_positive_fund_ratio
鹏扬基金,观察池,观察池,,3,3,0.03582834509699673,0.04301773381170859,0.04023696789702608,0.05639524273415386,-0.021417888611030333,-0.004486057629440765,0.0,0.3333333333333333,0.3333333333333333
工银瑞信基金,观察池,观察池,,3,5,0.03100423854615908,0.03513274350493778,0.031112708556109696,0.04565526735899805,-0.02223877792420037,-0.011362342631965783,-0.004727724950908896,0.0,0.0
东方基金,观察池,观察池,,4,4,0.01921481795311475,0.037872575112543716,0.06387949415905841,0.06656208552984388,-0.02887366109449363,-0.02133514135920611,-0.008984759888700788,0.0,0.0
兴证资管,观察池,观察池,,1,1,0.03516687675543362,0.03516687675543362,0.03516687675543362,0.06658055814363273,-0.03141368138819911,-0.007439003094744656,-0.0006094764771457095,0.0,0.0
摩根基金(中国),观察池,观察池,,2,3,0.011012042240749031,0.011012042240749031,0.006871925608734562,0.0442287014473437,-0.03321665920659467,-0.0063661233781397986,-0.013284498309363957,0.5,0.0
宝盈基金,观察池,观察池,,2,5,0.002003515636939901,0.002003515636939901,0.021453555054019004,0.035565286050612044,-0.03356177041367214,-0.029266137190570807,0.0026189108260876726,0.0,0.8
兴银基金管理,观察池,观察池,,2,2,-0.010234327319507852,-0.010234327319507852,-0.03834660038991288,0.026496858492844222,-0.036731185812352074,-0.024394853607923095,-0.005624831226626548,0.5,0.0
南方基金,观察池,观察池,,5,6,0.00896785487228069,0.04744500502293312,0.027640195580666733,0.06182745401930023,-0.03867422636002815,-0.02218897284299115,0.005574363033155283,0.4,0.5
浙商基金,观察池,观察池,,3,3,0.00625183743116442,0.007848441667303733,0.008824211702096461,0.047468311967007404,-0.03873658867415586,-0.025709719290401223,0.0027149985258831943,0.0,0.6666666666666666
汇安基金,观察池,观察池,,5,5,-0.005145134218513703,-0.0006256263320941535,-0.004199902641598176,0.03560970121371043,-0.040754835432224135,-0.028588061074208748,0.0028601729119017705,0.0,0.8
中银证券,观察池,观察池,,1,1,0.0010518829263472806,0.0010518829263472806,0.0010518829263472806,0.04362499175772716,-0.04257310883137988,-0.024430377764555145,-0.006644543811224812,0.0,0.0
信达澳亚基金,观察池,观察池,,2,2,-0.02841392899570422,-0.02841392899570422,-0.014722376317937285,0.015307923055396078,-0.043721852051100296,-0.05723286601978933,-0.008397068773141003,0.5,0.0
华安基金,观察池,观察池,,1,2,-0.015633801652068624,-0.015633801652068624,-0.015633801652068624,0.02809302177634798,-0.043726823428416606,-0.04298940884711688,-0.012647715230797385,0.0,0.0
南华基金,观察池,观察池,,1,1,-0.020821461824685805,-0.020821461824685805,-0.020821461824685805,0.027926589317383232,-0.04874805114206904,-0.04442825942542661,0.003389288387306122,0.0,1.0
华泰保兴基金,观察池,观察池,,1,1,0.009432975374016994,0.009432975374016994,0.009432975374016994,0.05880623352009651,-0.04937325814607951,-0.019485578306199125,0.0015994304508395452,0.0,1.0
前海联合,观察池,观察池,,1,1,-0.0156608092394821,-0.0156608092394821,-0.0156608092394821,0.03858976694421301,-0.05425057618369511,-0.03432150240256804,-0.0014357528930153407,0.0,0.0
富安达基金,观察池,观察池,,1,1,-0.0035834167776817027,-0.0035834167776817027,-0.0035834167776817027,0.05174406649346075,-0.05532748327114245,-0.03151385318260835,0.002805558595633917,0.0,1.0
国联安基金,观察池,观察池,,1,1,-0.008005921851877096,-0.008005921851877096,-0.008005921851877096,0.048190911982067375,-0.05619683383394447,-0.06584948945969749,-0.0009145789022587669,0.0,0.0
