基金管理人简称,evaluation_pool,return_observation_count,switch_observation_count,switch_unique_fund_count,switch_success_count,switch_hit_ratio,wilson_lower_95,wilson_upper_95,mean_active_contribution,median_active_contribution,winsor_1_mean_contribution,winsor_5_mean_contribution,bootstrap_lower_95,bootstrap_upper_95,equal_weight_dynamic_excess,nav_weighted_dynamic_excess,equal_weight_three_asset_excess,nav_weighted_three_asset_excess,fund_positive_ratio,company_quarter_positive_ratio,worst_company_quarter_contribution,max_single_fund_observation_share,top_two_fund_observation_share,max_single_fund_absolute_contribution_share,formal_gate_reason,positive_threshold_count,positive_signal_count,credibility_grade,formal_rank
创金合信基金,观察池,13,5,1,4,0.8,0.37553462976252533,0.9637758913675698,0.003828705569278628,0.0007277817809723031,0.0037912591007416563,0.003641473226593768,,,-0.006616127828750177,-0.007719410906005123,-0.00451667279801702,-0.004841388442723463,1.0,0.8,-0.0004462424186982745,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,3,4,观察池,
中邮基金,观察池,48,17,4,13,0.7647058823529411,0.5273820188043501,0.9044495567791988,0.0029418423973499867,0.00089836125736634,0.0029685350452214533,0.0030753056367073188,,,0.03285684877020136,0.0072632141578581,0.04613954650888245,0.017463253462526928,1.0,0.7777777777777778,-0.004499688229518053,0.35294117647058826,0.7058823529411765,0.4684685811674002,切换观察<30；切换基金<5,3,6,观察池,
西部利得基金,观察池,30,12,3,9,0.75,0.46769466506643426,0.9110583316059453,0.003767972318645125,0.0034532551390977634,0.0038223439522844815,0.004039830486841903,,,-0.02656130408914753,-0.006378870899479923,-0.042541941935591125,-0.017315381443592452,0.6666666666666666,0.6666666666666666,-0.04698168876383969,0.5,0.75,0.37458276118165845,切换观察<30；切换基金<5,3,4,观察池,
前海开源基金,观察池,40,20,4,14,0.7,0.4810271816464765,0.8545227551323956,0.015146640211228335,0.002465506188673826,0.01479430672236505,0.013384972766911928,,,-0.005480070676876414,-0.013669881176692416,-0.012992544431881558,-0.009325732445602168,0.75,0.7272727272727273,-0.0028993576747372344,0.35,0.7,0.7897524160373639,切换观察<30；切换基金<5,3,4,观察池,
中加基金,观察池,25,6,2,4,0.6666666666666666,0.299993315138392,0.9032285888942195,0.006953264102150581,0.002416398053698468,0.0067150271116680335,0.0057620791497378305,,,0.0034547630722669333,0.0029017703947781474,0.006199649107001581,0.002465391107850729,1.0,0.6,-0.0018849157062778362,0.8333333333333334,1.0,0.9252253656622297,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,3,6,观察池,
长城基金,观察池,13,3,1,2,0.6666666666666666,0.2076596008020477,0.9385080552796037,0.0016060351377710546,0.0029264027568762663,0.0016324424901531592,0.0017380718996815759,,,-0.007747485085966978,-0.008786616266708104,-0.011440062277980168,-0.012439566966244504,1.0,0.6666666666666666,-0.0019447358810428656,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,2,4,观察池,
兴银基金管理,观察池,31,11,2,7,0.6363636363636364,0.35380117450784887,0.8483352890463243,6.46983429257497e-05,0.0028891012643330223,0.0004690911034824071,0.0020866621457090342,,,-0.005044353479214533,-0.0049145028546697805,-0.0028350476222282405,-0.0022013738409824906,0.5,0.5,-0.01798907432361113,0.5454545454545454,1.0,0.700002552010653,切换观察<30；切换基金<5；单基金观察占比>50%,2,3,观察池,
汇丰晋信基金,观察池,26,11,2,7,0.6363636363636364,0.35380117450784887,0.8483352890463243,0.004444402743504466,0.000445404303914614,0.004389709584676448,0.004170936949364374,,,-0.008608463577622637,-0.007032351798017071,-0.013837048834158922,-0.011502668713280989,1.0,0.6666666666666666,-0.0042941877604235745,0.5454545454545454,1.0,0.7058956767834098,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,3,4,观察池,
光大保德信基金,观察池,45,16,4,10,0.625,0.38641040545502714,0.8151876744113636,0.004590701357930176,0.0006806640966278875,0.004293779318602595,0.003106091161292274,,,0.0042344246850389575,-0.005356139360088723,0.011183589904578179,-0.0012074735095812614,0.5,0.7272727272727273,-0.0175162961676148,0.5625,0.875,0.33672289414216744,切换观察<30；切换基金<5；单基金观察占比>50%,3,4,观察池,
汇安基金,观察池,65,26,5,16,0.6153846153846154,0.4253485008511553,0.7757140556428721,0.0018161505881095078,0.0032981043854458623,0.0018231611310492426,0.001817025703068837,,,-0.007832158150826024,-0.010991096968829977,-0.009045028883739321,-0.01135816000933571,0.8,0.4444444444444444,-0.004271515402408921,0.2692307692307692,0.5,0.26212924740404375,切换观察<30,3,4,观察池,
